XP_066028822.1 Pocillopora136283611
XP_066014859.1 Pocillopora131774238
XP_066014862.1 Pocillopora131774238
XP_066014865.1 Pocillopora131774238
XP_066014870.1 Pocillopora131774238
XP_066014873.1 Pocillopora131774238
XP_066014878.1 Pocillopora131774238
XP_066026731.1 Pocillopora131774239
XP_066029099.1 Pocillopora131798998
XP_058972650.2 Pocillopora131798999
XP_066028700.1 Pocillopora131774237
XP_058946236.1 Pocillopora131774237
XP_066023426.1 Pocillopora136281122
XP_066024930.1 Pocillopora136281811
XP_058958412.1 Pocillopora131785520
XP_058958418.1 Pocillopora131785526
XP_058958410.1 Pocillopora131785519
XP_058958411.1 Pocillopora131785519
XP_058958425.2 Pocillopora131785533
XP_058958420.2 Pocillopora131785528
XP_066027132.1 Pocillopora131785429
XP_058958423.2 Pocillopora131785531
XP_058958400.2 Pocillopora131785510
XP_066030592.1 Pocillopora131785511
XP_058958401.2 Pocillopora131785511
XP_058958392.2 Pocillopora131785508
XP_058958397.2 Pocillopora131785508
XP_058958393.2 Pocillopora131785508
XP_058958394.2 Pocillopora131785508
XP_058958396.2 Pocillopora131785508
XP_058958395.2 Pocillopora131785508
XP_058958399.2 Pocillopora131785508
XP_066030621.1 Pocillopora131785508
XP_066030625.1 Pocillopora131785508
XP_058958398.2 Pocillopora131785508
XP_058958376.2 Pocillopora131785499
XP_058958377.2 Pocillopora131785499
XP_058958404.2 Pocillopora131785514
XP_066024805.1 Pocillopora131785515
XP_058958333.1 Pocillopora131785463
XP_058958342.2 Pocillopora131785471
XP_058958415.2 Pocillopora131785523
XP_058958416.2 Pocillopora131785523
XP_058958414.1 Pocillopora131785522
XP_058966440.2 Pocillopora131793045
XP_066029190.1 Pocillopora131785430
XP_058958328.2 Pocillopora131785461
XP_058958327.2 Pocillopora131785460
XP_058958331.2 Pocillopora131785462
XP_066022121.1 Pocillopora131785462
XP_058958332.2 Pocillopora131785462
XP_058958408.2 Pocillopora131785518
XP_058958340.2 Pocillopora131785470
XP_058958413.2 Pocillopora131785521
XP_058958356.2 Pocillopora131785489
XP_058958357.2 Pocillopora131785489
XP_058958359.2 Pocillopora131785489
XP_058958289.1 Pocillopora131785420
XP_058958288.1 Pocillopora131785419
XP_058958368.2 Pocillopora131785494
XP_066029274.1 Pocillopora131785466
XP_066029320.1 Pocillopora131785506
XP_058958363.1 Pocillopora131785493
XP_058958364.1 Pocillopora131785493
XP_058958365.1 Pocillopora131785493
XP_058958367.1 Pocillopora131785493
XP_066016008.1 Pocillopora131785493
XP_066016009.1 Pocillopora131785493
XP_066016015.1 Pocillopora131785493
XP_058958305.2 Pocillopora131785432
XP_058958306.2 Pocillopora131785433
XP_058958290.2 Pocillopora131785421
XP_058958307.2 Pocillopora131785434
XP_066029481.1 Pocillopora131785422
XP_058958309.2 Pocillopora131785435
XP_066029541.1 Pocillopora136283889
XP_066028656.1 Pocillopora131785423
XP_066029564.1 Pocillopora131780793
XP_066029651.1 Pocillopora131772179
XP_058958388.2 Pocillopora131785505
XP_066027242.1 Pocillopora131785505
XP_058958387.2 Pocillopora131785505
XP_066027247.1 Pocillopora131785505
XP_066029690.1 Pocillopora131785527
XP_058958300.2 Pocillopora131785427
XP_058958301.2 Pocillopora131785427
XP_066025021.1 Pocillopora131785428
XP_058958326.2 Pocillopora131785459
XP_058958385.2 Pocillopora131785503
XP_066030865.1 Pocillopora131785475
XP_066029392.1 Pocillopora131785480
XP_066029390.1 Pocillopora131785480
XP_066029347.1 Pocillopora136283848
XP_066029350.1 Pocillopora136283848
XP_066029357.1 Pocillopora136283848
XP_066029365.1 Pocillopora136283848
XP_066029368.1 Pocillopora136283848
XP_066029372.1 Pocillopora136283848
XP_066029374.1 Pocillopora136283848
XP_066029379.1 Pocillopora136283848
XP_066029382.1 Pocillopora136283848
XP_066020831.1 Pocillopora131776863
XP_066029890.1 Pocillopora136284043
XP_066021077.1 Pocillopora136280198
XP_066029966.1 Pocillopora136284074
XP_066021075.1 Pocillopora131785476
XP_066021067.1 Pocillopora136280195
XP_058958351.2 Pocillopora131785481
XP_058958349.1 Pocillopora131785479
